"REF_DATE","GEO","DGUID","Type of service","Air carrier levels","Operating statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Canada","2016A000011124","Total, scheduled and charter services","Total, Canadian air carriers, Levels I to III","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615163","1.1.1.6","2376084","","","","0"
"2014","Canada","2016A000011124","Total, scheduled and charter services","Total, Canadian air carriers, Levels I to III","Total tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615164","1.1.1.7","19046525","","","","0"
"2014","Canada","2016A000011124","Total, scheduled and charter services","Total, Canadian air carriers, Levels I to III","Hours flown","Number","223","thousands","3","v122615165","1.1.1.8","2921","","","","0"
"2014","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Levels I and II","Number of carriers included","Number","223","units","0","v122615957","1.1.2.1","25","","","","0"
"2014","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Levels I and II","Passengers","Number","223","thousands","3","v122615166","1.1.2.2","70097","","","","0"
"2014","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Levels I and II","Goods carried","Kilograms","192","thousands","3","v122615167","1.1.2.3","690047","","","","0"
"2014","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Levels I and II","Passenger-kilometres","Number","223","thousands","3","v122615168","1.1.2.4","165246880","","","","0"
"2014","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Levels I and II","Passenger tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615169","1.1.2.5","16524688","","","","0"
"2014","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Levels I and II","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615170","1.1.2.6","2353246","","","","0"
"2014","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Levels I and II","Total tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615171","1.1.2.7","18877934","","","","0"
"2014","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Levels I and II","Hours flown","Number","223","thousands","3","v122615172","1.1.2.8","2415","","","","0"
"2014","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Level III","Number of carriers included","Number","223","units","0","v122615958","1.1.3.1","68","","","","0"
"2014","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Level III","Passengers","Number","223","thousands","3","v122615173","1.1.3.2","2139","","","","0"
"2014","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Level III","Goods carried","Kilograms","192","thousands","3","v122615174","1.1.3.3","46717","","","","0"
"2014","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Level III","Passenger-kilometres","Number","223","thousands","3","v122615175","1.1.3.4","1457533","","","","0"
"2014","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Level III","Passenger tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615176","1.1.3.5","145753","","","","0"
